date,description,amount,transaction_type,account_name,category,source_dataset,description_clean,date_month,date_day_of_week
2019-01-21,Amazon,88.46,credit,Platinum Card,Income,aug_personal_transactions_with_UserId.csv,amazon,1,Monday
2019-01-28,American Tavern,62.45,debit,Platinum Card,Credit Card Payment,aug_personal_transactions_with_UserId.csv,american tavern,1,Monday
2024-01-04,Man care resource.,2036.0,income,unknown,Investment,Personal_Finance_Dataset.csv,man care resource,1,Thursday
2023-02-26,Particularly score order modern.,922.33,expense,unknown,Health & Fitness,Personal_Finance_Dataset.csv,particularly score order modern,2,Sunday
2021-05-24,People education great.,1729.85,expense,unknown,Health & Fitness,Personal_Finance_Dataset.csv,people education great,5,Monday
2018-09-12,City Water Charges,37.78,debit,Checking,Income,aug_personal_transactions_with_UserId.csv,city water charges,9,Wednesday
2019-09-23,Biweekly Paycheck,187.03,credit,Platinum Card,Credit Card Payment,aug_personal_transactions_with_UserId.csv,biweekly paycheck,9,Monday
2018-03-27,Grocery Store,33.17,debit,Platinum Card,Credit Card Payment,aug_personal_transactions_with_UserId.csv,grocery store,3,Tuesday
2018-11-22,Grocery Store,141.49,credit,Checking,Auto Insurance,aug_personal_transactions_with_UserId.csv,grocery store,11,Thursday
2018-03-15,Amazon,117.65,debit,Silver Card,Income,aug_personal_transactions_with_UserId.csv,amazon,3,Thursday
2019-03-13,Credit Card Payment,301.79,credit,Silver Card,Credit Card Payment,aug_personal_transactions_with_UserId.csv,credit card payment,3,Wednesday
2018-12-21,Credit Card Payment,184.19,credit,Checking,Haircut,aug_personal_transactions_with_UserId.csv,credit card payment,12,Friday
2018-11-27,BP,168.78,debit,Checking,Credit Card Payment,aug_personal_transactions_with_UserId.csv,bp,11,Tuesday
2019-08-20,Grocery Store,102.11,credit,Platinum Card,Gas & Fuel,aug_personal_transactions_with_UserId.csv,grocery store,8,Tuesday
2019-05-31,German Restaurant,40.24,credit,Silver Card,Haircut,aug_personal_transactions_with_UserId.csv,german restaurant,5,Friday
2018-12-27,Thai Restaurant,10.66,credit,Platinum Card,Home Improvement,aug_personal_transactions_with_UserId.csv,thai restaurant,12,Thursday
2023-03-27,Son yourself increase.,2033.0,income,unknown,Investment,Personal_Finance_Dataset.csv,son yourself increase,3,Monday
2019-07-03,Thai Restaurant,94.35,debit,Silver Card,Alcohol & Bars,aug_personal_transactions_with_UserId.csv,thai restaurant,7,Wednesday
2019-04-10,Starbucks,18.13,debit,Platinum Card,Income,aug_personal_transactions_with_UserId.csv,starbucks,4,Wednesday
2019-02-24,American Tavern,87.62,credit,Silver Card,Groceries,aug_personal_transactions_with_UserId.csv,american tavern,2,Sunday
2018-04-10,American Tavern,193.84,debit,Checking,Mortgage & Rent,aug_personal_transactions_with_UserId.csv,american tavern,4,Tuesday
2018-10-19,Internet Service Provider,185.75,debit,Platinum Card,Gas & Fuel,aug_personal_transactions_with_UserId.csv,internet service provider,10,Friday
2018-11-24,Shell,38.78,debit,Checking,Internet,aug_personal_transactions_with_UserId.csv,shell,11,Saturday
2018-03-31,Chili's,24.74,debit,Platinum Card,Dining,aug_personal_transactions_with_UserId.csv,chili s,3,Saturday
