date,description,amount,category,source_dataset,description_clean,date_month,date_day_of_week
2018-01-01,Amazon,11.11,Shopping,aug_personal_transactions_with_UserId.csv,amazon,1,Monday
2018-01-02,Mortgage Payment,1247.44,Mortgage & Rent,aug_personal_transactions_with_UserId.csv,mortgage payment,1,Tuesday
2018-01-02,Thai Restaurant,24.22,Restaurants,aug_personal_transactions_with_UserId.csv,thai restaurant,1,Tuesday
2018-01-03,Credit Card Payment,2298.09,Credit Card Payment,aug_personal_transactions_with_UserId.csv,credit card payment,1,Wednesday
2018-01-04,Internet Service Provider,64.29,Groceries,aug_personal_transactions_with_UserId.csv,internet service provider,1,Thursday
2018-01-04,Netflix,11.76,Movies & Dvds,aug_personal_transactions_with_UserId.csv,netflix,1,Thursday
2018-01-05,American Tavern,25.85,Restaurants,aug_personal_transactions_with_UserId.csv,american tavern,1,Friday
2018-01-05,Mexican Restaurant,58.76,Movies & Dvds,aug_personal_transactions_with_UserId.csv,mexican restaurant,1,Friday
2018-01-06,Hardware Store,18.45,Home Improvement,aug_personal_transactions_with_UserId.csv,hardware store,1,Saturday
2018-01-08,Brunch Restaurant,185.19,Restaurants,aug_personal_transactions_with_UserId.csv,brunch restaurant,1,Monday
2018-01-08,Gas Company,45.0,Bills & Utilities,aug_personal_transactions_with_UserId.csv,gas company,1,Monday
2018-01-08,Hardware Store,15.38,Home Improvement,aug_personal_transactions_with_UserId.csv,hardware store,1,Monday
2018-01-08,State Farm,40.26,Paycheck,aug_personal_transactions_with_UserId.csv,state farm,1,Monday
2018-01-09,Mediterranean Restaurant,99.41,Bills & Utilities,aug_personal_transactions_with_UserId.csv,mediterranean restaurant,1,Tuesday
2018-01-09,QuikTrip,194.97,Fast Food,aug_personal_transactions_with_UserId.csv,quiktrip,1,Tuesday
2018-01-09,Spotify,10.69,Music,aug_personal_transactions_with_UserId.csv,spotify,1,Tuesday
2018-01-10,Credit Card Payment,49.14,Mobile Phone,aug_personal_transactions_with_UserId.csv,credit card payment,1,Wednesday
2018-01-10,Gas Company,43.17,Credit Card Payment,aug_personal_transactions_with_UserId.csv,gas company,1,Wednesday
2018-01-10,Phone Company,89.46,Mobile Phone,aug_personal_transactions_with_UserId.csv,phone company,1,Wednesday
2018-01-11,Grocery Store,43.54,Groceries,aug_personal_transactions_with_UserId.csv,grocery store,1,Thursday
2018-01-11,Grocery Store,105.64,Mortgage & Rent,aug_personal_transactions_with_UserId.csv,grocery store,1,Thursday
2018-01-11,Shell,34.87,Gas & Fuel,aug_personal_transactions_with_UserId.csv,shell,1,Thursday
2018-01-11,State Farm,76.06,Shopping,aug_personal_transactions_with_UserId.csv,state farm,1,Thursday
2018-01-12,Biweekly Paycheck,2000.0,Paycheck,aug_personal_transactions_with_UserId.csv,biweekly paycheck,1,Friday
2018-01-12,Chick-Fil-A,116.8,Restaurants,aug_personal_transactions_with_UserId.csv,chick fil a,1,Friday
2018-01-13,Amazon,39.05,Shopping,aug_personal_transactions_with_UserId.csv,amazon,1,Saturday
2018-01-13,Biweekly Paycheck,99.88,Restaurants,aug_personal_transactions_with_UserId.csv,biweekly paycheck,1,Saturday
2018-01-13,Pizza Place,32.91,Fast Food,aug_personal_transactions_with_UserId.csv,pizza place,1,Saturday
2018-01-13,Sushi Restaurant,138.5,Bills & Utilities,aug_personal_transactions_with_UserId.csv,sushi restaurant,1,Saturday
2018-01-14,German Restaurant,15.48,Credit Card Payment,aug_personal_transactions_with_UserId.csv,german restaurant,1,Sunday
2018-01-15,Amazon,25.82,Restaurants,aug_personal_transactions_with_UserId.csv,amazon,1,Monday
2018-01-15,American Tavern,64.11,Restaurants,aug_personal_transactions_with_UserId.csv,american tavern,1,Monday
2018-01-15,Credit Card Payment,125.95,Groceries,aug_personal_transactions_with_UserId.csv,credit card payment,1,Monday
2018-01-15,Grocery Store,44.19,Groceries,aug_personal_transactions_with_UserId.csv,grocery store,1,Monday
2018-01-16,Biweekly Paycheck,33.54,Bills & Utilities,aug_personal_transactions_with_UserId.csv,biweekly paycheck,1,Tuesday
2018-01-16,Biweekly Paycheck,157.82,Coffee Shops,aug_personal_transactions_with_UserId.csv,biweekly paycheck,1,Tuesday
2018-01-16,Brewing Company,105.32,Groceries,aug_personal_transactions_with_UserId.csv,brewing company,1,Tuesday
2018-01-16,City Water Charges,35.0,Bills & Utilities,aug_personal_transactions_with_UserId.csv,city water charges,1,Tuesday
2018-01-16,Internet Service Provider,105.64,Groceries,aug_personal_transactions_with_UserId.csv,internet service provider,1,Tuesday
2018-01-16,Mexican Restaurant,45.27,Shopping,aug_personal_transactions_with_UserId.csv,mexican restaurant,1,Tuesday
2018-01-16,Power Company,60.0,Bills & Utilities,aug_personal_transactions_with_UserId.csv,power company,1,Tuesday
2018-01-17,American Tavern,32.41,Shopping,aug_personal_transactions_with_UserId.csv,american tavern,1,Wednesday
2018-01-17,Biweekly Paycheck,6.58,Credit Card Payment,aug_personal_transactions_with_UserId.csv,biweekly paycheck,1,Wednesday
2018-01-17,Credit Card Payment,157.09,Gas & Fuel,aug_personal_transactions_with_UserId.csv,credit card payment,1,Wednesday
2018-01-17,Grocery Store,138.58,Auto Insurance,aug_personal_transactions_with_UserId.csv,grocery store,1,Wednesday
2018-01-17,Mediterranean Restaurant,3.46,Coffee Shops,aug_personal_transactions_with_UserId.csv,mediterranean restaurant,1,Wednesday
2018-01-17,State Farm,1.75,Groceries,aug_personal_transactions_with_UserId.csv,state farm,1,Wednesday
2018-01-18,Credit Card Payment,82.77,Shopping,aug_personal_transactions_with_UserId.csv,credit card payment,1,Thursday
2018-01-18,Grocery Store,122.5,Groceries,aug_personal_transactions_with_UserId.csv,grocery store,1,Thursday
2018-01-18,Hardware Store,45.56,Credit Card Payment,aug_personal_transactions_with_UserId.csv,hardware store,1,Thursday
2018-01-19,Amazon Video,197.39,Paycheck,aug_personal_transactions_with_UserId.csv,amazon video,1,Friday
2018-01-19,Biweekly Paycheck,2000.0,Paycheck,aug_personal_transactions_with_UserId.csv,biweekly paycheck,1,Friday
2018-01-19,Brunch Restaurant,119.95,Restaurants,aug_personal_transactions_with_UserId.csv,brunch restaurant,1,Friday
2018-01-19,Fancy Restaurant,70.38,Mortgage & Rent,aug_personal_transactions_with_UserId.csv,fancy restaurant,1,Friday
2018-01-20,Amazon,50.21,Shopping,aug_personal_transactions_with_UserId.csv,amazon,1,Saturday
2018-01-20,Biweekly Paycheck,31.46,Restaurants,aug_personal_transactions_with_UserId.csv,biweekly paycheck,1,Saturday
2018-01-20,Brunch Restaurant,193.28,Credit Card Payment,aug_personal_transactions_with_UserId.csv,brunch restaurant,1,Saturday
2018-01-21,Brewing Company,11.41,Credit Card Payment,aug_personal_transactions_with_UserId.csv,brewing company,1,Sunday
2018-01-21,Grocery Store,103.02,Gas & Fuel,aug_personal_transactions_with_UserId.csv,grocery store,1,Sunday
2018-01-21,Grocery Store,153.45,Internet,aug_personal_transactions_with_UserId.csv,grocery store,1,Sunday
2018-01-21,Power Company,128.3,Credit Card Payment,aug_personal_transactions_with_UserId.csv,power company,1,Sunday
2018-01-22,Barbershop,192.38,Shopping,aug_personal_transactions_with_UserId.csv,barbershop,1,Monday
2018-01-22,BBQ Restaurant,55.33,Shopping,aug_personal_transactions_with_UserId.csv,bbq restaurant,1,Monday
2018-01-22,Brunch Restaurant,187.66,Home Improvement,aug_personal_transactions_with_UserId.csv,brunch restaurant,1,Monday
2018-01-22,Brunch Restaurant,113.74,Gas & Fuel,aug_personal_transactions_with_UserId.csv,brunch restaurant,1,Monday
2018-01-22,Credit Card Payment,554.99,Credit Card Payment,aug_personal_transactions_with_UserId.csv,credit card payment,1,Monday
2018-01-22,Credit Card Payment,309.81,Credit Card Payment,aug_personal_transactions_with_UserId.csv,credit card payment,1,Monday
2018-01-22,Credit Card Payment,43.14,Gas & Fuel,aug_personal_transactions_with_UserId.csv,credit card payment,1,Monday
2018-01-22,Credit Card Payment,99.5,Paycheck,aug_personal_transactions_with_UserId.csv,credit card payment,1,Monday
2018-01-22,Credit Card Payment,138.1,Restaurants,aug_personal_transactions_with_UserId.csv,credit card payment,1,Monday
2018-01-22,Hardware Store,17.38,Home Improvement,aug_personal_transactions_with_UserId.csv,hardware store,1,Monday
2018-01-22,State Farm,83.85,Shopping,aug_personal_transactions_with_UserId.csv,state farm,1,Monday
2018-01-22,Thai Restaurant,94.06,Auto Insurance,aug_personal_transactions_with_UserId.csv,thai restaurant,1,Monday
2018-01-23,American Tavern,115.04,Restaurants,aug_personal_transactions_with_UserId.csv,american tavern,1,Tuesday
2018-01-23,BP,140.06,Groceries,aug_personal_transactions_with_UserId.csv,bp,1,Tuesday
2018-01-23,City Water Charges,157.3,Credit Card Payment,aug_personal_transactions_with_UserId.csv,city water charges,1,Tuesday
2018-01-23,Credit Card Payment,309.81,Credit Card Payment,aug_personal_transactions_with_UserId.csv,credit card payment,1,Tuesday
2018-01-23,Italian Restaurant,188.99,Paycheck,aug_personal_transactions_with_UserId.csv,italian restaurant,1,Tuesday
2018-01-23,Mortgage Payment,163.69,Restaurants,aug_personal_transactions_with_UserId.csv,mortgage payment,1,Tuesday
2018-01-24,Brewing Company,54.94,Shopping,aug_personal_transactions_with_UserId.csv,brewing company,1,Wednesday
2018-01-24,Gas Company,47.31,Groceries,aug_personal_transactions_with_UserId.csv,gas company,1,Wednesday
2018-01-24,Grocery Store,51.44,Gas & Fuel,aug_personal_transactions_with_UserId.csv,grocery store,1,Wednesday
2018-01-24,Netflix,14.82,Haircut,aug_personal_transactions_with_UserId.csv,netflix,1,Wednesday
2018-01-24,Starbucks,3.0,Coffee Shops,aug_personal_transactions_with_UserId.csv,starbucks,1,Wednesday
2018-01-25,Amazon,146.19,Home Improvement,aug_personal_transactions_with_UserId.csv,amazon,1,Thursday
2018-01-25,Credit Card Payment,100.5,Bills & Utilities,aug_personal_transactions_with_UserId.csv,credit card payment,1,Thursday
2018-01-25,Internet Service Provider,69.99,Internet,aug_personal_transactions_with_UserId.csv,internet service provider,1,Thursday
2018-01-25,Roadside Diner,25.32,Groceries,aug_personal_transactions_with_UserId.csv,roadside diner,1,Thursday
2018-01-26,Barbershop,57.08,Gas & Fuel,aug_personal_transactions_with_UserId.csv,barbershop,1,Friday
2018-01-26,City Water Charges,58.18,Restaurants,aug_personal_transactions_with_UserId.csv,city water charges,1,Friday
